iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,20,cc83be85db391e9396e1427b3e124968,23.6140398979187
1,1,20,20,cc83be85db391e9396e1427b3e124968,10.323301315307617
2,1,20,20,cc83be85db391e9396e1427b3e124968,22.51376175880432
3,1,20,20,cc83be85db391e9396e1427b3e124968,17.283894300460815
4,1,20,20,cc83be85db391e9396e1427b3e124968,17.01711916923523
0,1,20,40,cc83be85db391e9396e1427b3e124968,11.233854055404663
1,1,20,40,cc83be85db391e9396e1427b3e124968,6.612843751907349
2,1,20,40,cc83be85db391e9396e1427b3e124968,6.139494180679321
3,1,20,40,cc83be85db391e9396e1427b3e124968,11.180952548980713
4,1,20,40,cc83be85db391e9396e1427b3e124968,9.403371334075928
0,1,20,60,cc83be85db391e9396e1427b3e124968,10.578454732894897
1,1,20,60,cc83be85db391e9396e1427b3e124968,8.818226337432861
2,1,20,60,cc83be85db391e9396e1427b3e124968,12.91896104812622
