iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,0,cc83be85db391e9396e1427b3e124968,5.016988277435303
1,1,20,0,cc83be85db391e9396e1427b3e124968,4.341299057006836
2,1,20,0,cc83be85db391e9396e1427b3e124968,3.897318124771118
3,1,20,0,cc83be85db391e9396e1427b3e124968,4.377527475357056
4,1,20,0,cc83be85db391e9396e1427b3e124968,5.597517490386963
0,2,20,0,cc83be85db391e9396e1427b3e124968,5.528311491012573
1,2,20,0,cc83be85db391e9396e1427b3e124968,5.430611610412598
2,2,20,0,cc83be85db391e9396e1427b3e124968,4.5723748207092285
3,2,20,0,cc83be85db391e9396e1427b3e124968,5.886963605880737
4,2,20,0,cc83be85db391e9396e1427b3e124968,5.2658350467681885
0,3,20,0,cc83be85db391e9396e1427b3e124968,5.262878894805908
1,3,20,0,cc83be85db391e9396e1427b3e124968,7.049951791763306
2,3,20,0,cc83be85db391e9396e1427b3e124968,5.613775968551636
3,3,20,0,cc83be85db391e9396e1427b3e124968,6.5644371509552
4,3,20,0,cc83be85db391e9396e1427b3e124968,5.399398326873779
0,4,20,0,cc83be85db391e9396e1427b3e124968,6.060153245925903
1,4,20,0,cc83be85db391e9396e1427b3e124968,5.259112358093262
2,4,20,0,cc83be85db391e9396e1427b3e124968,6.746416091918945
3,4,20,0,cc83be85db391e9396e1427b3e124968,7.130889892578125
4,4,20,0,cc83be85db391e9396e1427b3e124968,6.722412109375
0,5,20,0,cc83be85db391e9396e1427b3e124968,5.993680238723755
1,5,20,0,cc83be85db391e9396e1427b3e124968,9.160640716552734
2,5,20,0,cc83be85db391e9396e1427b3e124968,8.394226789474487
3,5,20,0,cc83be85db391e9396e1427b3e124968,8.523492813110352
4,5,20,0,cc83be85db391e9396e1427b3e124968,12.872432470321655
